"","qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"1","ENA|ABE97915|ABE97915.1",NA,NA,NA,NA,"aurantio_only"
"2","ENA|APC60435|APC60435.1",NA,NA,NA,NA,"aurantio_only"
"3","ENA|APC60436|APC60436.1",NA,NA,NA,NA,"aurantio_only"
"4","ENA|CAB5728993|CAB5728993.1",NA,NA,NA,NA,"aurantio_only"
"5","ENA|CAB5729129|CAB5729129.1",NA,NA,NA,NA,"aurantio_only"
"6","ENA|CAB5729179|CAB5729179.1",NA,NA,NA,NA,"aurantio_only"
"7","ENA|CAB5729375|CAB5729375.1",NA,NA,NA,NA,"aurantio_only"
"8","ENA|CAB5729392|CAB5729392.1",NA,NA,NA,NA,"aurantio_only"
"9","ENA|CAB5729395|CAB5729395.1",NA,NA,NA,NA,"aurantio_only"
"10","ENA|CAB5729407|CAB5729407.1",NA,NA,NA,NA,"aurantio_only"
"11","ENA|CAB5729425|CAB5729425.1",NA,NA,NA,NA,"aurantio_only"
"12","ENA|CAB5729477|CAB5729477.1",NA,NA,NA,NA,"aurantio_only"
"13","ENA|CAB5729482|CAB5729482.1",NA,NA,NA,NA,"aurantio_only"
"14","ENA|CAB5729642|CAB5729642.1",NA,NA,NA,NA,"aurantio_only"
"15","ENA|CAB5729696|CAB5729696.1",NA,NA,NA,NA,"aurantio_only"
"16","ENA|CAB5729738|CAB5729738.1",NA,NA,NA,NA,"aurantio_only"
"17","ENA|CAB5729794|CAB5729794.1",NA,NA,NA,NA,"aurantio_only"
"18","ENA|CAB5729814|CAB5729814.1",NA,NA,NA,NA,"aurantio_only"
"19","ENA|CAB5729828|CAB5729828.1",NA,NA,NA,NA,"aurantio_only"
"20","ENA|CAB5729924|CAB5729924.1",NA,NA,NA,NA,"aurantio_only"
"21","ENA|CAB5730059|CAB5730059.1",NA,NA,NA,NA,"aurantio_only"
"22","ENA|CAB5730131|CAB5730131.1",NA,NA,NA,NA,"aurantio_only"
"23","ENA|CAB5730154|CAB5730154.1",NA,NA,NA,NA,"aurantio_only"
"24","ENA|CAB5730162|CAB5730162.1",NA,NA,NA,NA,"aurantio_only"
"25","ENA|CAB5730248|CAB5730248.1",NA,NA,NA,NA,"aurantio_only"
"26","ENA|CAB5730326|CAB5730326.1",NA,NA,NA,NA,"aurantio_only"
"27","ENA|CAB5730408|CAB5730408.1",NA,NA,NA,NA,"aurantio_only"
"28","ENA|CAB5730418|CAB5730418.1",NA,NA,NA,NA,"aurantio_only"
"29","ENA|CAB5730529|CAB5730529.1",NA,NA,NA,NA,"aurantio_only"
"30","ENA|CAB5730584|CAB5730584.1",NA,NA,NA,NA,"aurantio_only"
"31","ENA|CAB5730659|CAB5730659.1",NA,NA,NA,NA,"aurantio_only"
"32","ENA|CAB5730781|CAB5730781.1",NA,NA,NA,NA,"aurantio_only"
"33","ENA|CAB5730814|CAB5730814.1",NA,NA,NA,NA,"aurantio_only"
"34","ENA|CAB5730980|CAB5730980.1",NA,NA,NA,NA,"aurantio_only"
